	metabolite id	metabolite name	MW [Da]	carbons	yield [gCDW/mmol carbon]	ATP yield [mol ATP/mol]	ATP yield [mol ATP/mol carbon]	ATP yield [mol ATP/Da]	exchange
EX_uacgam_e	uacgam_e	UDP-N-acetyl-D-glucosamine	605.337822	17	0.012851387781375227	59.666666666629794	3.5098039215664585	0.005798091237666723	{'EX_meoh_e': 2.5702775562750452e-08, 'EX_ura_e': 0.05457235459061849, 'EX_co2_e': 0.2541818553508388}
EX_udpacgal_e	udpacgal_e	UDP-N-acetyl-D-galactosamine	605.337822	17	0.005212976586651919	23.333333333312112	1.3725490196065948	0.0022674099812097894	{'EX_acgal_e': 0.058823529411764705, 'EX_meoh_e': 1.0425953173303838e-08, 'EX_ura_e': 0.05709910282166675, 'EX_co2_e': 0.08703107828063229}
EX_udpg_e	udpg_e	UDPglucose	564.2859020000001	15	0.01266008599617305	51.00000000001842	3.400000000001228	0.00602531445132795	{'EX_meoh_e': 2.5320171992346097e-08, 'EX_ura_e': 0.06247877351961506, 'EX_co2_e': 0.23040880915807205}
EX_udpgal_e	udpgal_e	UDPgalactose	564.2859020000001	15	0.012589752185080731	50.66666666661604	3.3777777777744027	0.005985933311115049	{'EX_meoh_e': 2.517950437016146e-08, 'EX_ura_e': 0.06250203959268674, 'EX_co2_e': 0.23320283429231825}
EX_udpglcur_e	udpglcur_e	UDP-D-glucuronate	577.2614820000001	15	0.01139407739655616	45.66666666669163	3.0444444444461087	0.005273943506326147	{'EX_meoh_e': 2.278815479311232e-08, 'EX_ura_e': 0.0628975628343369, 'EX_co2_e': 0.2807012615756232}
EX_ump_e	ump_e	UMP	322.165401	9	0.00984673355257142	23.333333333327673	2.5925925925919637	0.00804739610319596	{'EX_meoh_e': 1.969346710514284e-08, 'EX_ura_e': 0.1078538608855979, 'EX_co2_e': 0.1643920367524172}
EX_uri_e	uri_e	Uridine	244.20137999999997	9	0.009846733551787234	23.333333333329392	2.5925925925921547	0.010616617287716209	{'EX_meoh_e': 1.9693467103574467e-08, 'EX_ura_e': 0.10785386088582527, 'EX_co2_e': 0.164392036740934}
EX_xan_e	xan_e	Xanthine	152.11086	5	0.006815361590017838	10.66666666666606	2.133333333333212	0.01402485879925478	{'EX_meoh_e': 1.3630723180035676e-08, 'EX_co2_e': 0.7202404067013661}
EX_xmp_e	xmp_e	Xanthosine 5'-phosphate	362.18950099999995	10	0.012258333237860197	33.66666666666671	3.3666666666666707	0.009295318217042053	{'EX_meoh_e': 2.451666647572039e-08, 'EX_co2_e': 0.4968152055356868}
EX_xtsn_e	xtsn_e	Xanthosine	284.22548	10	0.012259272826310803	33.666666666666664	3.3666666666666663	0.011845055786928977	{'EX_meoh_e': 2.4518545652621604e-08, 'EX_co2_e': 0.49681372124219225}
EX_xyl_D_e	xyl_D_e	D-Xylose	150.12990000000002	5	0.016383233104757054	22.666666666668416	4.533333333333683	0.030196072423505794	{'EX_meoh_e': 3.276646620951411e-08, 'EX_co2_e': 0.3274947235879507}
EX_xylu_L_e	xylu_L_e	L-Xylulose	150.12990000000002	5	0.01638323268005722	22.666666666666515	4.533333333333303	0.03019607242350326	{'EX_meoh_e': 3.276646536011444e-08, 'EX_co2_e': 0.32749474102119563}
